epoch,loss
0.0,2.101210517605146
1.0,1.7345895962367455
2.0,1.5006012145243586
3.0,1.331280488830991
4.0,1.197889289519439
5.0,1.0886999363967529
6.0,0.9934184998531516
7.0,0.9143264314644038
8.0,0.8547129940722759
9.0,0.7862153759303037
10.0,0.7368352215101864
11.0,0.6854484769454381
12.0,0.6442386949852807
13.0,0.5912090650965498
14.0,0.5539934213577847
15.0,0.5176868953576195
16.0,0.4861531549903545
17.0,0.4494692683875231
18.0,0.41833216294793724
19.0,0.38766690556380007
20.0,0.35533943481362074
21.0,0.32772886195849665
22.0,0.3069491499075084
23.0,0.2822191494764314
24.0,0.25763428235988006
25.0,0.23743019093118467
26.0,0.2169499537591546
27.0,0.2033107040866974
28.0,0.1948835426224341
29.0,0.1803266152717424
30.0,0.16952234159917257
31.0,0.1552943010932989
32.0,0.1482629537796723
33.0,0.13307801726686255
34.0,0.1266256683761312
35.0,0.12922668846943391
36.0,0.1112650219363098
37.0,0.1122456321987811
38.0,0.0933286379865796
39.0,0.09127957907128484
40.0,0.08583154274254443
41.0,0.09578276546969604
42.0,0.07963319753188035
43.0,0.07376824485646466
44.0,0.06917376371283959
45.0,0.07281199141447936
46.0,0.07068315639381005
47.0,0.06867054426731906
48.0,0.06419073339899978
49.0,0.05772901041367572
